virus,sequencer,error tolerance,faulty cells,tp,fp,fn
lassa,illumina,5,8192,996,3910,0
lassa,roche,5,8192,928,2812,71
lassa,pacbio,5,8192,932,3867,0
measles,illumina,5,8192,1000,3431,0
measles,roche,5,8192,934,3198,66
measles,pacbio,5,8192,1000,3399,0
sars-cov-2,illumina,5,8192,1000,3768,0
sars-cov-2,roche,5,8192,908,3236,92
sars-cov-2,pacbio,5,8192,1000,3724,0
rotavirus,illumina,5,8192,1000,3582,0
rotavirus,roche,5,8192,924,3686,76
rotavirus,pacbio,5,8192,989,3451,0
influenza,illumina,0,16384,1000,0,0
influenza,roche,0,16384,891,0,109
influenza,pacbio,0,16384,559,0,441
lassa,illumina,0,16384,1000,0,0
lassa,roche,0,16384,917,0,83
lassa,pacbio,0,16384,602,0,398
measles,illumina,0,16384,1000,0,0
measles,roche,0,16384,926,0,74
measles,pacbio,0,16384,592,0,408
sars-cov-2,illumina,0,16384,1000,0,0
sars-cov-2,roche,0,16384,908,0,92
sars-cov-2,pacbio,0,16384,601,0,399
rotavirus,illumina,0,16384,1000,0,0
rotavirus,roche,0,16384,910,0,90
rotavirus,pacbio,0,16384,577,0,423
influenza,illumina,1,16384,1000,0,0
influenza,roche,1,16384,902,0,98
influenza,pacbio,1,16384,968,1,31
lassa,illumina,1,16384,1000,0,0
lassa,roche,1,16384,928,0,72
lassa,pacbio,1,16384,976,0,24
measles,illumina,1,16384,1000,0,0
measles,roche,1,16384,931,0,69
measles,pacbio,1,16384,977,1,22
sars-cov-2,illumina,1,16384,1000,0,0
sars-cov-2,roche,1,16384,908,0,92
sars-cov-2,pacbio,1,16384,976,0,24
rotavirus,illumina,1,16384,1000,0,0
rotavirus,roche,1,16384,919,0,81
rotavirus,pacbio,1,16384,971,0,29
influenza,illumina,2,16384,1000,0,0
influenza,roche,2,16384,903,13,97
influenza,pacbio,2,16384,990,13,0
lassa,illumina,2,16384,1000,0,0
lassa,roche,2,16384,929,1,71
lassa,pacbio,2,16384,994,11,0
measles,illumina,2,16384,1000,0,0
measles,roche,2,16384,934,4,66
measles,pacbio,2,16384,994,7,0
sars-cov-2,illumina,2,16384,1000,0,0
sars-cov-2,roche,2,16384,908,0,92
sars-cov-2,pacbio,2,16384,999,3,0
rotavirus,illumina,2,16384,1000,0,0
rotavirus,roche,2,16384,924,0,76
rotavirus,pacbio,2,16384,993,7,0
influenza,illumina,3,16384,1000,0,0
influenza,roche,3,16384,902,38,97
influenza,pacbio,3,16384,830,186,0
lassa,illumina,3,16384,1000,0,0
lassa,roche,3,16384,928,2,71
lassa,pacbio,3,16384,691,338,0
measles,illumina,3,16384,1000,0,0
measles,roche,3,16384,934,39,66
measles,pacbio,3,16384,918,88,0
sars-cov-2,illumina,3,16384,1000,0,0
sars-cov-2,roche,3,16384,908,149,92
sars-cov-2,pacbio,3,16384,1000,0,0
rotavirus,illumina,3,16384,1000,0,0
rotavirus,roche,3,16384,924,12,76
rotavirus,pacbio,3,16384,893,118,0
influenza,illumina,4,16384,988,1137,0
influenza,roche,4,16384,900,874,97
influenza,pacbio,4,16384,602,1462,0
lassa,illumina,4,16384,956,1897,0
lassa,roche,4,16384,906,639,71
lassa,pacbio,4,16384,334,1811,0
measles,illumina,4,16384,997,407,0
measles,roche,4,16384,934,1242,66
measles,pacbio,4,16384,916,529,0
sars-cov-2,illumina,4,16384,995,1254,0
sars-cov-2,roche,4,16384,907,1417,92
sars-cov-2,pacbio,4,16384,891,1126,0
rotavirus,illumina,4,16384,988,1190,0
rotavirus,roche,4,16384,923,2959,76
rotavirus,pacbio,4,16384,645,1243,0
influenza,illumina,5,16384,1000,3675,0
influenza,roche,5,16384,904,3002,96
influenza,pacbio,5,16384,983,3671,0
lassa,illumina,5,16384,996,3910,0
lassa,roche,5,16384,928,2812,71
lassa,pacbio,5,16384,932,3868,0
measles,illumina,5,16384,1000,3431,0
measles,roche,5,16384,934,3198,66
measles,pacbio,5,16384,1000,3399,0
sars-cov-2,illumina,5,16384,1000,3767,0
sars-cov-2,roche,5,16384,908,3236,92
sars-cov-2,pacbio,5,16384,1000,3722,0
rotavirus,illumina,5,16384,1000,3583,0
rotavirus,roche,5,16384,924,3686,76
rotavirus,pacbio,5,16384,989,3451,0
influenza,illumina,0,32768,1000,0,0
influenza,roche,0,32768,890,0,110
influenza,pacbio,0,32768,548,0,452
lassa,illumina,0,32768,1000,0,0
lassa,roche,0,32768,917,0,83
lassa,pacbio,0,32768,586,0,414
measles,illumina,0,32768,1000,0,0
measles,roche,0,32768,925,0,75
measles,pacbio,0,32768,589,0,411
sars-cov-2,illumina,0,32768,1000,0,0
sars-cov-2,roche,0,32768,906,0,94
sars-cov-2,pacbio,0,32768,587,0,413
rotavirus,illumina,0,32768,1000,0,0
rotavirus,roche,0,32768,909,0,91
rotavirus,pacbio,0,32768,565,0,435
influenza,illumina,1,32768,1000,0,0
influenza,roche,1,32768,901,0,99
influenza,pacbio,1,32768,967,1,32
lassa,illumina,1,32768,1000,0,0
lassa,roche,1,32768,928,0,72
lassa,pacbio,1,32768,976,0,24
measles,illumina,1,32768,1000,0,0
measles,roche,1,32768,931,0,69
measles,pacbio,1,32768,975,1,24
sars-cov-2,illumina,1,32768,1000,0,0
sars-cov-2,roche,1,32768,908,0,92
sars-cov-2,pacbio,1,32768,976,0,24
rotavirus,illumina,1,32768,1000,0,0
rotavirus,roche,1,32768,920,0,80
rotavirus,pacbio,1,32768,968,0,32
influenza,illumina,2,32768,1000,0,0
influenza,roche,2,32768,903,7,97
influenza,pacbio,2,32768,987,15,0
lassa,illumina,2,32768,1000,0,0
lassa,roche,2,32768,929,0,71
lassa,pacbio,2,32768,995,8,0
measles,illumina,2,32768,1000,0,0
measles,roche,2,32768,934,4,66
measles,pacbio,2,32768,994,10,0
sars-cov-2,illumina,2,32768,1000,0,0
sars-cov-2,roche,2,32768,908,0,92
sars-cov-2,pacbio,2,32768,997,5,0
rotavirus,illumina,2,32768,1000,0,0
rotavirus,roche,2,32768,924,0,76
rotavirus,pacbio,2,32768,992,8,0
influenza,illumina,3,32768,1000,0,0
influenza,roche,3,32768,903,34,97
influenza,pacbio,3,32768,832,184,0
lassa,illumina,3,32768,1000,0,0
lassa,roche,3,32768,928,2,71
lassa,pacbio,3,32768,686,343,0
measles,illumina,3,32768,1000,0,0
measles,roche,3,32768,934,38,66
measles,pacbio,3,32768,916,92,0
sars-cov-2,illumina,3,32768,1000,0,0
sars-cov-2,roche,3,32768,908,93,92
sars-cov-2,pacbio,3,32768,1000,1,0
rotavirus,illumina,3,32768,1000,0,0
rotavirus,roche,3,32768,924,13,76
rotavirus,pacbio,3,32768,886,124,0
influenza,illumina,4,32768,949,1089,0
influenza,roche,4,32768,901,950,97
influenza,pacbio,4,32768,602,1409,0
lassa,illumina,4,32768,941,1831,0
lassa,roche,4,32768,899,618,71
lassa,pacbio,4,32768,317,1755,0
measles,illumina,4,32768,990,388,0
measles,roche,4,32768,897,1271,66
measles,pacbio,4,32768,902,510,0
sars-cov-2,illumina,4,32768,992,1177,0
sars-cov-2,roche,4,32768,907,1437,92
sars-cov-2,pacbio,4,32768,885,1077,0
rotavirus,illumina,4,32768,968,1104,0
rotavirus,roche,4,32768,916,2943,76
rotavirus,pacbio,4,32768,619,1207,0
influenza,illumina,5,32768,1000,3655,0
influenza,roche,5,32768,904,2998,96
influenza,pacbio,5,32768,978,3662,0
lassa,illumina,5,32768,995,3907,0
lassa,roche,5,32768,928,2811,71
lassa,pacbio,5,32768,928,3862,0
measles,illumina,5,32768,1000,3416,0
measles,roche,5,32768,934,3195,66
measles,pacbio,5,32768,998,3378,0
sars-cov-2,illumina,5,32768,1000,3740,0
sars-cov-2,roche,5,32768,908,3235,92
sars-cov-2,pacbio,5,32768,1000,3706,0
rotavirus,illumina,5,32768,1000,3570,0
rotavirus,roche,5,32768,924,3681,76
rotavirus,pacbio,5,32768,989,3438,0
influenza,illumina,0,65536,1000,0,0
influenza,roche,0,65536,889,0,111
influenza,pacbio,0,65536,513,0,487
lassa,illumina,0,65536,1000,0,0
lassa,roche,0,65536,905,0,95
lassa,pacbio,0,65536,558,0,442
measles,illumina,0,65536,1000,0,0
measles,roche,0,65536,912,0,88
measles,pacbio,0,65536,547,0,453
sars-cov-2,illumina,0,65536,1000,0,0
sars-cov-2,roche,0,65536,903,0,97
sars-cov-2,pacbio,0,65536,532,0,468
rotavirus,illumina,0,65536,1000,0,0
rotavirus,roche,0,65536,891,0,109
rotavirus,pacbio,0,65536,513,0,487
influenza,illumina,1,65536,1000,0,0
influenza,roche,1,65536,901,0,99
influenza,pacbio,1,65536,962,1,37
lassa,illumina,1,65536,1000,0,0
lassa,roche,1,65536,928,0,72
lassa,pacbio,1,65536,969,0,31
measles,illumina,1,65536,1000,0,0
measles,roche,1,65536,908,0,92
measles,pacbio,1,65536,970,1,29
sars-cov-2,illumina,1,65536,1000,0,0
sars-cov-2,roche,1,65536,908,0,92
sars-cov-2,pacbio,1,65536,962,0,38
rotavirus,illumina,1,65536,1000,0,0
rotavirus,roche,1,65536,918,0,82
rotavirus,pacbio,1,65536,957,1,43
influenza,illumina,2,65536,1000,0,0
influenza,roche,2,65536,903,5,97
influenza,pacbio,2,65536,994,14,0
lassa,illumina,2,65536,1000,0,0
lassa,roche,2,65536,928,0,72
lassa,pacbio,2,65536,994,10,0
measles,illumina,2,65536,1000,0,0
measles,roche,2,65536,926,7,71
measles,pacbio,2,65536,994,10,0
sars-cov-2,illumina,2,65536,1000,0,0
sars-cov-2,roche,2,65536,908,0,92
sars-cov-2,pacbio,2,65536,997,5,0
rotavirus,illumina,2,65536,1000,0,0
rotavirus,roche,2,65536,923,0,77
rotavirus,pacbio,2,65536,988,15,0
influenza,illumina,3,65536,1000,0,0
influenza,roche,3,65536,903,35,97
influenza,pacbio,3,65536,836,190,0
lassa,illumina,3,65536,998,2,0
lassa,roche,3,65536,928,6,71
lassa,pacbio,3,65536,712,325,0
measles,illumina,3,65536,1000,0,0
measles,roche,3,65536,925,44,66
measles,pacbio,3,65536,898,113,0
sars-cov-2,illumina,3,65536,1000,0,0
sars-cov-2,roche,3,65536,908,67,92
sars-cov-2,pacbio,3,65536,1000,0,0
rotavirus,illumina,3,65536,999,1,0
rotavirus,roche,3,65536,907,33,78
rotavirus,pacbio,3,65536,826,199,0
influenza,illumina,4,65536,874,735,0
influenza,roche,4,65536,858,828,97
influenza,pacbio,4,65536,497,1097,0
lassa,illumina,4,65536,712,1290,0
lassa,roche,4,65536,449,888,71
lassa,pacbio,4,65536,245,1375,0
measles,illumina,4,65536,966,217,0
measles,roche,4,65536,919,843,66
measles,pacbio,4,65536,897,322,0
sars-cov-2,illumina,4,65536,958,655,0
sars-cov-2,roche,4,65536,845,1210,92
sars-cov-2,pacbio,4,65536,810,709,0
rotavirus,illumina,4,65536,729,865,0
rotavirus,roche,4,65536,463,2532,76
rotavirus,pacbio,4,65536,486,1056,0
influenza,illumina,5,65536,997,3348,0
influenza,roche,5,65536,904,2890,96
influenza,pacbio,5,65536,947,3187,0
lassa,illumina,5,65536,979,3646,0
lassa,roche,5,65536,908,2786,71
lassa,pacbio,5,65536,860,3546,0
measles,illumina,5,65536,997,2783,0
measles,roche,5,65536,934,2777,66
measles,pacbio,5,65536,990,2731,0
sars-cov-2,illumina,5,65536,993,3447,0
sars-cov-2,roche,5,65536,908,2994,92
sars-cov-2,pacbio,5,65536,991,3347,0
rotavirus,illumina,5,65536,988,3341,0
rotavirus,roche,5,65536,919,3531,76
rotavirus,pacbio,5,65536,891,3250,0
influenza,illumina,0,131072,869,0,131
influenza,roche,0,131072,882,0,118
influenza,pacbio,0,131072,149,0,851
lassa,illumina,0,131072,887,0,113
lassa,roche,0,131072,855,0,145
lassa,pacbio,0,131072,139,0,861
measles,illumina,0,131072,727,0,273
measles,roche,0,131072,769,0,231
measles,pacbio,0,131072,124,0,876
sars-cov-2,illumina,0,131072,541,0,459
sars-cov-2,roche,0,131072,535,0,465
sars-cov-2,pacbio,0,131072,70,0,930
rotavirus,illumina,0,131072,213,0,787
rotavirus,roche,0,131072,553,0,447
rotavirus,pacbio,0,131072,26,0,974
influenza,illumina,1,131072,962,0,38
influenza,roche,1,131072,899,0,101
influenza,pacbio,1,131072,616,0,384
lassa,illumina,1,131072,946,0,54
lassa,roche,1,131072,783,0,217
lassa,pacbio,1,131072,623,0,377
measles,illumina,1,131072,856,0,144
measles,roche,1,131072,903,0,97
measles,pacbio,1,131072,487,1,512
sars-cov-2,illumina,1,131072,680,0,320
sars-cov-2,roche,1,131072,596,0,404
sars-cov-2,pacbio,1,131072,321,0,679
rotavirus,illumina,1,131072,389,0,611
rotavirus,roche,1,131072,563,0,437
rotavirus,pacbio,1,131072,238,0,762
influenza,illumina,2,131072,971,31,13
influenza,roche,2,131072,900,1,100
influenza,pacbio,2,131072,817,178,85
lassa,illumina,2,131072,965,51,11
lassa,roche,2,131072,747,17,248
lassa,pacbio,2,131072,863,130,72
measles,illumina,2,131072,895,86,63
measles,roche,2,131072,912,13,84
measles,pacbio,2,131072,728,192,154
sars-cov-2,illumina,2,131072,789,176,125
sars-cov-2,roche,2,131072,907,0,93
sars-cov-2,pacbio,2,131072,582,359,205
rotavirus,illumina,2,131072,550,415,202
rotavirus,roche,2,131072,652,213,248
rotavirus,pacbio,2,131072,353,477,325
influenza,illumina,3,131072,970,50,0
influenza,roche,3,131072,901,13,97
influenza,pacbio,3,131072,863,212,0
lassa,illumina,3,131072,910,125,0
lassa,roche,3,131072,864,67,109
lassa,pacbio,3,131072,741,344,0
measles,illumina,3,131072,757,335,0
measles,roche,3,131072,887,51,82
measles,pacbio,3,131072,602,529,0
sars-cov-2,illumina,3,131072,705,389,0
sars-cov-2,roche,3,131072,691,156,221
sars-cov-2,pacbio,3,131072,577,567,0
rotavirus,illumina,3,131072,154,1047,0
rotavirus,roche,3,131072,12,1045,101
